object_id,museal_number,image_url,object_url,title,ethnic_group,year,collection_date_start,collection_date_end,latitude,longitude,event_ids,description,collectors_not_cleaned,comments,legend,text_on_object,tempel/ sign,references,event_names,related_objects,relation_type,<viited>,places_not_cleaned,material_not cleaned,material_cat_not_cleaned
625460,ERM B 179:163,http://opendata.muis.ee/media-list/625460,http://opendata.muis.ee/object/625460,suga,isuri,1988,,,,,"4719367, 5741156, 4715519",,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,,,,,Pahhomovka küla; Kingissepa rajoon; Leningradi oblast,"metall, puit","puit, metall"
625461,ERM B 179:164,http://opendata.muis.ee/media-list/625461,http://opendata.muis.ee/object/625461,soalaad,isuri,1988,,,,,"4719369, 4715519, 5750307",,"Marika Mikkor, Mare Piho, Terje Anepaio",,"Eseme üleandja tõi selle 1940ndatel oma venna juurest, kes elas Uušküläs (Kuplja).",,,,,,,,Pahhomovka küla; Kingissepa rajoon; Leningradi oblast,"kanep, kask, metall, nöör, traat","puit, metall"
625462,ERM B 179:165,http://opendata.muis.ee/media-list/625462,http://opendata.muis.ee/object/625462,nõu,isuri,1988,,,,,"2613030, 4715519, 2613029, 5733959",,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,majapidamine | valmistamine,,,,Pahhomovka küla; Kingissepa rajoon; Leningradi oblast,savi,keraamika
625463,ERM B 179:166,http://opendata.muis.ee/media-list/625463,http://opendata.muis.ee/object/625463,tuur,isuri,1988,,,,,"5741446, 4715519, 4719470",,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,,,,,Pahhomovka küla; Kingissepa rajoon; Leningradi oblast,"okaspuit, raud",puit
625464,ERM B 179:167,http://opendata.muis.ee/media-list/625464,http://opendata.muis.ee/object/625464,võrguhark,isuri,1988,,,,,"4719472, 4719471, 4715519, 5719100",,"Marika Mikkor, Mare Piho, Terje Anepaio",,"Ese kuulus algselt üleandja naabrile Veselovale, kes suri hiljuti.",,,,,,,,Pahhomovka küla; Kingissepa rajoon; Leningradi oblast,lehtpuit,puit
625465,ERM B 179:168,http://opendata.muis.ee/media-list/625465,http://opendata.muis.ee/object/625465,võrguhark,isuri,1988,,,,,"4719472, 5719101, 4719471, 4715519",,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,,,,,Pahhomovka küla; Kingissepa rajoon; Leningradi oblast,lehtpuit,puit
625466,ERM B 179:169,http://opendata.muis.ee/media-list/625466,http://opendata.muis.ee/object/625466,kaalud,isuri,1988,,,,,"4715519, 5741447, 4719473","Koosneb ringikujuliselt kokkukeeratud metalllehest, mille otste kinnituskohale kinnitub liikuv nõel. Ringi väliskülgedel olevatesse osadesse kinnituvad 2 paari metallrõngaid ja konkse. Ringi sees olevale metallribale on kahe kruviga kinnitatud poolkuukujuline vaskplekist plaat. Plaadile on peale löödud triibud, punktid ning mõõtühikud.","Marika Mikkor, Mare Piho, Terje Anepaio","""Kinkija mäletab lapsepõlvest, et need kaalud on kodus kogu aeg olemas olnud.""",,,,,,,,,Pahhomovka küla; Kingissepa rajoon; Leningradi oblast,metall,metall
625468,ERM B 179:170/ab,http://opendata.muis.ee/media-list/625468,http://opendata.muis.ee/object/625468,jalatsiliistud,isuri,1988,,,,,"5741448, 4719474, 4715519",,"Marika Mikkor, Mare Piho, Terje Anepaio",,,,,,,,,,Kirjamo küla; Kingissepa rajoon; Leningradi oblast,kask,puit
625470,ERM B 179:172,http://opendata.muis.ee/media-list/625470,http://opendata.muis.ee/object/625470,lõngakeha,isuri,1988,,,,,"5719102, 4719476, 4715519",,"Marika Mikkor, Mare Piho, Terje Anepaio",Sellele keriti lõnga.,,,,,,,,,Pahhomovka küla; Kingissepa rajoon; Leningradi oblast,okaspuit,puit
625471,ERM B 179:173,http://opendata.muis.ee/media-list/625471,http://opendata.muis.ee/object/625471,"pott, hanede jooginõu",isuri,1988,,,,,"4715519, 5716696, 2613057",,"Marika Mikkor, Mare Piho, Terje Anepaio",,"""Potti kasutati hanede jooginõuks. Sellele pandi kaas peale. Nõu servas on kolmnurkne ava, oli suurema kausi peal kummuli.""",,,,,,,,Vistino külanõukogu; Kingissepa rajoon; Leningradi oblast,saviglasuur,keraamika
