object_id,museaali_number,eseme_nimi,material,material_category
520603,ERM B 225:5,"trumm, pulgad",rihm,puit
520617,ERM B 225:7,sarafan,linane,tekstiil
520617,ERM B 225:7,sarafan,,tekstiil
520617,ERM B 225:7,sarafan,mari,tekstiil
520617,ERM B 225:7,sarafan,,tekstiil
521055,ERM B 225:8/ab,sukad,vill,tekstiil
521362,ERM B 218:22,palvenöör,lina,tekstiil
521363,ERM B 218:23,palvenöör,sünteetika,tekstiil
521363,ERM B 218:23,palvenöör,puuvill,tekstiil
521366,ERM B 218:24,jooginõu,vask,metall
521368,ERM B 218:25,sõel,puit,puit
521370,ERM B 218:26,niidirull käepidemega,puit,puit
521371,ERM B 218:27,"vöö, meeste",segakiud,tekstiil
521371,ERM B 218:27,"vöö, meeste",sünteetika,tekstiil
521372,ERM B 218:28,värten,puit,puit
521373,ERM B 218:29,vöötihv,puit,puit
521374,ERM B 218:30,värten,puit,puit
521375,ERM B 220:12,liud,puit,puit
521376,ERM B 220:13,kauss,puit,puit
521377,ERM B 220:14,nõu,puit,puit
521377,ERM B 220:14,nõu,vits,puit
521378,ERM B 220:15,käterätt,lina,tekstiil
521378,ERM B 220:15,käterätt,puuvill,tekstiil
521379,ERM B 220:16,laudlina,linane,tekstiil
521379,ERM B 220:16,laudlina,kangas,tekstiil
521380,ERM B 220:17,püssirohusalv kotikese ja mõõduga,,tekstiil
521380,ERM B 220:17,püssirohusalv kotikese ja mõõduga,lina,tekstiil
521380,ERM B 220:17,püssirohusalv kotikese ja mõõduga,,tekstiil
521380,ERM B 220:17,püssirohusalv kotikese ja mõõduga,,tekstiil
521380,ERM B 220:17,püssirohusalv kotikese ja mõõduga,nahk,nahk
521380,ERM B 220:17,püssirohusalv kotikese ja mõõduga,nöör,tekstiil
521380,ERM B 220:17,püssirohusalv kotikese ja mõõduga,puit,puit
521381,ERM B 220:18/ab 1-6,uksehinged koos naeltega,raud,metall
521382,ERM B 220:19/abc,ukseriiv,raud,metall
521383,ERM B 220:20,õllelehter,puit,puit
521384,ERM B 220:21,kauss,savi,keraamika
521385,ERM B 220:22,valtshöövel,puit,puit
521385,ERM B 220:22,valtshöövel,raud,metall
521386,ERM B 220:23,puur,,puit
521386,ERM B 220:23,puur,,puit
521386,ERM B 220:23,puur,puit,puit
521386,ERM B 220:23,puur,raud,puit
521387,ERM B 220:24,püünisraud,raud,metall
521388,ERM B 220:25,kedervars,puit,puit
521389,ERM B 220:26,kedervars,puit,puit
521390,ERM B 220:27,kedervars,puit,puit
521555,ERM B 223:2,"kingad, naiste",nahk,nahk
521555,ERM B 223:2,"kingad, naiste",nahk,nahk
521555,ERM B 223:2,"kingad, naiste",sünteetika,tekstiil
521555,ERM B 223:2,"kingad, naiste",,nahk
521580,ERM B 215:9,kinnas,karusnahk,nahk
521580,ERM B 215:9,kinnas,nahk,nahk
521581,ERM B 215:10/ab,"vibu, nool, mänguasi",kask,puit
521581,ERM B 215:10/ab,"vibu, nool, mänguasi",sünteetika,tekstiil
521581,ERM B 215:10/ab,"vibu, nool, mänguasi",tehismaterjal,plastik
521646,ERM B 219:1/ab,tohukarp,kasetoht,puit
521646,ERM B 219:1/ab,tohukarp,kask,puit
521647,ERM B 219:2,kott,nahk,nahk
521647,ERM B 219:2,kott,põhjapõder,nahk
521647,ERM B 219:2,kott,,nahk
521647,ERM B 219:2,kott,,nahk
521647,ERM B 219:2,kott,kangas,nahk
521648,ERM B 219:3,vöö,,tekstiil
521648,ERM B 219:3,vöö,,tekstiil
521649,ERM B 219:4,vöö,,tekstiil
521649,ERM B 219:4,vöö,ripskude,tekstiil
521649,ERM B 219:4,vöö,,tekstiil
521650,ERM B 219:5,vöö,,tekstiil
521650,ERM B 219:5,vöö,ripskude,tekstiil
521650,ERM B 219:5,vöö,,tekstiil
521651,ERM B 219:6,pealinik,linane,tekstiil
521651,ERM B 219:6,pealinik,tikand,tekstiil
521651,ERM B 219:6,pealinik,helmed,tekstiil
521652,ERM B 219:7,pealiniku katke,linane,tekstiil
521652,ERM B 219:7,pealiniku katke,,tekstiil
521652,ERM B 219:7,pealiniku katke,poepits,tekstiil
521688,ERM B 218:31,karjakell,metall,metall
521689,ERM B 218:32/ab,kingad,nahk,nahk
521689,ERM B 218:32/ab,kingad,pael,nahk
521689,ERM B 218:32/ab,kingad,,nahk
521690,ERM B 218:33/ab,lamp,klaas,klaas
521690,ERM B 218:33/ab,lamp,metall,metall
521691,ERM B 218:34,lambarauad,metall,metall
521692,ERM B 218:35/ab,sukad,vill,tekstiil
521693,ERM B 218:36,sarafan,lina,tekstiil
521698,ERM B 218:37/ab,"suusad, jahimehe",metall,metall
521698,ERM B 218:37/ab,"suusad, jahimehe",nahk,nahk
