object_id,material,material_category
526694,,puit
526694,toht,puit
526695,puit,puit
526696,puit,puit
526697,puit,puit
526698,puit,puit
526699,damast (riidesort),tekstiil
526880,tikand,tekstiil
526880,puuvillane,tekstiil
526881,atlasriie,tekstiil
526881,puuvill,tekstiil
526884,linane,tekstiil
526884,punasel põhjal muster,tekstiil
526884,must,tekstiil
526884,kollased triibud,tekstiil
526884,kodukootud kangas,tekstiil
526885,linane,tekstiil
526885,,tekstiil
526885,punane,tekstiil
526885,valge ja rohelisega triibud,tekstiil
526885,naastpõim,tekstiil
526886,lina,tekstiil
526886,vill,tekstiil
526991,lehtpuu,puit
527010,kalev (riidesort),nahk
527010,nahk,nahk
527010,vill,nahk
527010,vilt,nahk
527010,sisetald,nahk
527011,puit,puit
527012,kask,puit
527012,puuvill,tekstiil
527012,rihm,puit
527013,juured,puit
527013,puit,puit
527014,puit,puit
527015,puit,puit
527016,lina,tekstiil
527016,puuvill,tekstiil
527017,hüljes,nahk
527017,nahk,nahk
527017,tekstiil,nahk
527017,vooder,nahk
527018,puit,puit
527019,puit,puit
527020,laast,puit
527020,pärn,puit
527021,puit,puit
527022,metall,metall
527022,pael,metall
527022,puuvill,metall
527022,traat,metall
527022,vask,metall
527023,puit,puit
527024,puit,puit
527025,puit,puit
527026,puit,puit
527027,lina,puit
527027,niit,puit
527027,puit,puit
527028,puit,puit
527028,sünteetika,tekstiil
527028,tehismaterjal,plastik
527029,kandid,tekstiil
527029,lina,tekstiil
527029,nööp,tekstiil
527029,puuvill,tekstiil
527029,vask,tekstiil
527030,puit,puit
527030,raud,puit
527031,kasetoht,puit
527031,kask,puit
527031,puit,puit
527031,,puit
527031,kaas,puit
527032,harjas,nahk
527032,lina,nahk
527032,siga,nahk
527033,vask,metall
527034,savi,keraamika
527035,puit,puit
527036,puit,metall
527036,raud,metall
527037,raud,metall
527038,vask,metall
527039,puit,puit
530016,lõng,tekstiil
530016,lõng,tekstiil
530016,villane,tekstiil
545845,samet,tekstiil
545845,puna-sini-roosa-valge-roheline lilltikand,tekstiil
545845,samet,tekstiil
545846,kalev (riidesort),tekstiil
545846,kaunistus,tekstiil
545846,must siidniit,tekstiil
545846,punane ja roheline poelint,tekstiil
545847,lina,tekstiil
545847,puuvill,tekstiil
545848,puuvillane,tekstiil
545848,,tekstiil
545848,peenike mitmevärviline muster,tekstiil
545849,puuvill,tekstiil
545850,tekstiil,tekstiil
545850,roheline,tekstiil
545850,pits,tekstiil
545851,kalev (riidesort),tekstiil
545852,kalev (riidesort),tekstiil
545852,puna-roheline ruuduline vooder,tekstiil
545852,vask,tekstiil
545853,nööp,tekstiil
545853,plast,tekstiil
545853,puuvillane või linane(?),tekstiil
545853,tekstiil,tekstiil
545854,pruun tugevduspael,tekstiil
545854,vilt,tekstiil
547884,lina,tekstiil
547884,puuvill,tekstiil
555487,tekstiil,tekstiil
555489,lina,tekstiil
555489,puuvill,tekstiil
555493,tekstiil,tekstiil
555493,valge ja punane,tekstiil
555498,punane muster,tekstiil
555498,tekstiil,tekstiil
555505,punane muster,tekstiil
555505,tekstiil,tekstiil
555900,must,tekstiil
555900,sinine,tekstiil
555900,punane,tekstiil
555900,,tekstiil
555900,tekstiil,tekstiil
555903,must,tekstiil
555903,sinine,tekstiil
555903,punane,tekstiil
555903,,tekstiil
555903,tekstiil,tekstiil
555905,must,
555905,punane,
555905,sinine,
555905,kollane,
555905,,
555905,tekstiil,
555906,must,tekstiil
555906,punane,tekstiil
555906,kollane,tekstiil
555906,roosa,tekstiil
