object_id,place_id,koht,place_raw,Riik,Riik_clean,Riik_eng_clean,"Regioon (oblast, vabariik, ringkond)",Regioon_clean,Regioon_eng,Regioon_eng_clean,Ringkond,Ringkond_clean,Ringkond_eng_clean,Rajoon_est,Rajoon_clean,Rajoon_eng,Rajoon_eng_clean,local_admin,küla,Küla_clean,küla_eng,Küla_eng_clean,lat,lon,coords_source,place_key
617615,PL00679,Korvala küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53766,Korvala küla,Korvala küla,Korvala küla,Korvala küla,21188.0,,,venemaa|leningradi oblast||boksitogorski rajoon|korvala küla
617616,PL00679,Korvala küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53766,Korvala küla,Korvala küla,Korvala küla,Korvala küla,21188.0,,,venemaa|leningradi oblast||boksitogorski rajoon|korvala küla
617617,PL01170,Berjozovo rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,23159.0,23159,,,,Berjozovo rajoon,Berjozovo rajoon,Beryozovsky District,Beryozovsky District,21206,,,,,,,,venemaa|tjumeni oblast||berjozovo rajoon|
617618,PL01170,Berjozovo rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,23159.0,23159,,,,Berjozovo rajoon,Berjozovo rajoon,Beryozovsky District,Beryozovsky District,21206,,,,,,,,venemaa|tjumeni oblast||berjozovo rajoon|
617619,PL01195,Handi-Mansi rahvusringkond; Oktjabrski rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53769.0,53769,,,,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,53026,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,21217.0,,,venemaa|tjumeni oblast||oktjabrski rajoon|handi-mansi rahvusringkond
617619,PL01196,Sergovo küla; Oktjabrski rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53769.0,53769,,,,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,53771,Sergovo küla,Sergovo küla,Sergovo küla,Sergovo küla,21217.0,,,venemaa|tjumeni oblast||oktjabrski rajoon|sergovo küla
617620,PL01195,Handi-Mansi rahvusringkond; Oktjabrski rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53769.0,53769,,,,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,53026,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,21217.0,,,venemaa|tjumeni oblast||oktjabrski rajoon|handi-mansi rahvusringkond
617620,PL01196,Sergovo küla; Oktjabrski rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53769.0,53769,,,,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,53771,Sergovo küla,Sergovo küla,Sergovo küla,Sergovo küla,21217.0,,,venemaa|tjumeni oblast||oktjabrski rajoon|sergovo küla
617621,PL01194,Aljoškino küla; Oktjabrski rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53769.0,53769,,,,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,53773,Aljoškino küla,Aljoškino küla,Aljoškino küla,Aljoškino küla,21230.0,,,venemaa|tjumeni oblast||oktjabrski rajoon|aljoškino küla
617622,PL01194,Aljoškino küla; Oktjabrski rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53769.0,53769,,,,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,53773,Aljoškino küla,Aljoškino küla,Aljoškino küla,Aljoškino küla,21230.0,,,venemaa|tjumeni oblast||oktjabrski rajoon|aljoškino küla
617623,PL01225,Handi-Mansi rahvusringkond; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53026.0,53026,,,,,,,,,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,21242.0,,,venemaa|tjumeni oblast|||handi-mansi rahvusringkond
617624,PL01225,Handi-Mansi rahvusringkond; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53026.0,53026,,,,,,,,,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,21242.0,,,venemaa|tjumeni oblast|||handi-mansi rahvusringkond
617625,PL00404,Handi-Mansi; Venemaa,,Venemaa,Venemaa,Russia,Handi-Mansi,Handi-Mansi,53774.0,53774,,,,,,,,,Handi-Mansi,Handi-Mansi,,Handi-Mansi,,,,venemaa|handi-mansi|||handi-mansi
617625,PL01197,Staroje Aljoškino küla; Oktjabrski rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53769.0,53769,,,,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,53776,Staroje Aljoškino küla,Staroje Aljoškino küla,Staroje Aljoškino küla,Staroje Aljoškino küla,53774.0,,,venemaa|tjumeni oblast||oktjabrski rajoon|staroje aljoškino küla
617626,PL01194,Aljoškino küla; Oktjabrski rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53769.0,53769,,,,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,53773,Aljoškino küla,Aljoškino küla,Aljoškino küla,Aljoškino küla,21230.0,,,venemaa|tjumeni oblast||oktjabrski rajoon|aljoškino küla
617627,PL01225,Handi-Mansi rahvusringkond; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53026.0,53026,,,,,,,,,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,21242.0,,,venemaa|tjumeni oblast|||handi-mansi rahvusringkond
617628,PL01194,Aljoškino küla; Oktjabrski rajoon; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53769.0,53769,,,,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,Oktjabrski rajoon,53773,Aljoškino küla,Aljoškino küla,Aljoškino küla,Aljoškino küla,21230.0,,,venemaa|tjumeni oblast||oktjabrski rajoon|aljoškino küla
617629,PL01225,Handi-Mansi rahvusringkond; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53026.0,53026,,,,,,,,,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,21242.0,,,venemaa|tjumeni oblast|||handi-mansi rahvusringkond
617630,PL01225,Handi-Mansi rahvusringkond; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53026.0,53026,,,,,,,,,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,21242.0,,,venemaa|tjumeni oblast|||handi-mansi rahvusringkond
617631,PL01225,Handi-Mansi rahvusringkond; Tjumeni oblast; Venemaa,,Venemaa,Venemaa,Russia,Tjumeni oblast,Tjumeni oblast,53026.0,53026,,,,,,,,,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,Handi-Mansi rahvusringkond,21242.0,,,venemaa|tjumeni oblast|||handi-mansi rahvusringkond
617632,PL00715,Sidorovo küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53090,Sidorovo küla,Sidorovo küla,Sidorovo küla,Sidorovo küla,21071.0,,,venemaa|leningradi oblast||boksitogorski rajoon|sidorovo küla
617633,PL00715,Sidorovo küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53090,Sidorovo küla,Sidorovo küla,Sidorovo küla,Sidorovo küla,21071.0,,,venemaa|leningradi oblast||boksitogorski rajoon|sidorovo küla
617634,PL00715,Sidorovo küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53090,Sidorovo küla,Sidorovo küla,Sidorovo küla,Sidorovo küla,21071.0,,,venemaa|leningradi oblast||boksitogorski rajoon|sidorovo küla
617635,PL00715,Sidorovo küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53090,Sidorovo küla,Sidorovo küla,Sidorovo küla,Sidorovo küla,21071.0,,,venemaa|leningradi oblast||boksitogorski rajoon|sidorovo küla
617636,PL00715,Sidorovo küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53090,Sidorovo küla,Sidorovo küla,Sidorovo küla,Sidorovo küla,21071.0,,,venemaa|leningradi oblast||boksitogorski rajoon|sidorovo küla
617637,PL00715,Sidorovo küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53090,Sidorovo küla,Sidorovo küla,Sidorovo küla,Sidorovo küla,21071.0,,,venemaa|leningradi oblast||boksitogorski rajoon|sidorovo küla
617638,PL00715,Sidorovo küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53090,Sidorovo küla,Sidorovo küla,Sidorovo küla,Sidorovo küla,21071.0,,,venemaa|leningradi oblast||boksitogorski rajoon|sidorovo küla
617639,PL00715,Sidorovo küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53090,Sidorovo küla,Sidorovo küla,Sidorovo küla,Sidorovo küla,21071.0,,,venemaa|leningradi oblast||boksitogorski rajoon|sidorovo küla
617640,PL00721,Vepsa; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,52731,Vepsa,Vepsa,Vepsa,Vepsa,21329.0,,,venemaa|leningradi oblast||boksitogorski rajoon|vepsa
617641,PL00649,Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,13982,,,,,,,,venemaa|leningradi oblast||boksitogorski rajoon|
617642,PL00721,Vepsa; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,52731,Vepsa,Vepsa,Vepsa,Vepsa,21329.0,,,venemaa|leningradi oblast||boksitogorski rajoon|vepsa
617644,PL00721,Vepsa; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,52731,Vepsa,Vepsa,Vepsa,Vepsa,21329.0,,,venemaa|leningradi oblast||boksitogorski rajoon|vepsa
617647,PL00681,Krasnõi Bori küla; Sidorovo külanõukogu; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,Sidorovo külanõukogu,Krasnõi Bori küla,Krasnõi Bori küla,Krasnõi Bori küla,Krasnõi Bori küla,21373.0,,,venemaa|leningradi oblast||boksitogorski rajoon|krasnõi bori küla
617648,PL00678,Korvala; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53779,Korvala,Korvala,Korvala,Korvala,21379.0,,,venemaa|leningradi oblast||boksitogorski rajoon|korvala
617648,PL00702,Radogashi; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53781,Radogashi,Radogashi,Radogashi,Radogashi,21379.0,,,venemaa|leningradi oblast||boksitogorski rajoon|radogashi
617648,PL00714,Sidorovo; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53649,Sidorovo,Sidorovo,Sidorovo,Sidorovo,21379.0,,,venemaa|leningradi oblast||boksitogorski rajoon|sidorovo
617649,PL00679,Korvala küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53766,Korvala küla,Korvala küla,Korvala küla,Korvala küla,21188.0,,,venemaa|leningradi oblast||boksitogorski rajoon|korvala küla
617650,PL00645,Korvala; Bokitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Bokitogorski rajoon,Bokitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53779,Korvala,Korvala,Korvala,Korvala,21391.0,,,venemaa|leningradi oblast||bokitogorski rajoon|korvala
617650,PL00646,Radogashi; Bokitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Bokitogorski rajoon,Bokitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53781,Radogashi,Radogashi,Radogashi,Radogashi,21391.0,,,venemaa|leningradi oblast||bokitogorski rajoon|radogashi
617650,PL00647,Sidorovo; Bokitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Bokitogorski rajoon,Bokitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53649,Sidorovo,Sidorovo,Sidorovo,Sidorovo,21391.0,,,venemaa|leningradi oblast||bokitogorski rajoon|sidorovo
617650,PL00649,Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,21391,,,,,,,,venemaa|leningradi oblast||boksitogorski rajoon|
617651,PL00645,Korvala; Bokitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Bokitogorski rajoon,Bokitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53779,Korvala,Korvala,Korvala,Korvala,21396.0,,,venemaa|leningradi oblast||bokitogorski rajoon|korvala
617651,PL00646,Radogashi; Bokitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Bokitogorski rajoon,Bokitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53781,Radogashi,Radogashi,Radogashi,Radogashi,21396.0,,,venemaa|leningradi oblast||bokitogorski rajoon|radogashi
617651,PL00647,Sidorovo; Bokitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Bokitogorski rajoon,Bokitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53649,Sidorovo,Sidorovo,Sidorovo,Sidorovo,21396.0,,,venemaa|leningradi oblast||bokitogorski rajoon|sidorovo
617652,PL00645,Korvala; Bokitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Bokitogorski rajoon,Bokitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53779,Korvala,Korvala,Korvala,Korvala,21396.0,,,venemaa|leningradi oblast||bokitogorski rajoon|korvala
617652,PL00646,Radogashi; Bokitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Bokitogorski rajoon,Bokitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53781,Radogashi,Radogashi,Radogashi,Radogashi,21396.0,,,venemaa|leningradi oblast||bokitogorski rajoon|radogashi
617652,PL00647,Sidorovo; Bokitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Bokitogorski rajoon,Bokitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53649,Sidorovo,Sidorovo,Sidorovo,Sidorovo,21396.0,,,venemaa|leningradi oblast||bokitogorski rajoon|sidorovo
617653,PL00679,Korvala küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53766,Korvala küla,Korvala küla,Korvala küla,Korvala küla,21188.0,,,venemaa|leningradi oblast||boksitogorski rajoon|korvala küla
617654,PL00679,Korvala küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53766,Korvala küla,Korvala küla,Korvala küla,Korvala küla,21188.0,,,venemaa|leningradi oblast||boksitogorski rajoon|korvala küla
617655,PL00679,Korvala küla; Boksitogorski rajoon; Leningradi oblast; Venemaa,,Venemaa,Venemaa,Russia,Leningradi oblast,Leningradi oblast,52608.0,52608,,,,Boksitogorski rajoon,Boksitogorski rajoon,Boksitogorsky District,Boksitogorsky District,53766,Korvala küla,Korvala küla,Korvala küla,Korvala küla,21188.0,,,venemaa|leningradi oblast||boksitogorski rajoon|korvala küla
