object_id,best_place,place_precision,country,region,rajon,village,lat,lon,has_coordinates,koht
521704,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521705,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521706,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521707,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521708,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521709,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521710,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521711,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521712,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521713,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521714,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521715,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522051,Parma küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Parma küla,762.0,,False,Parma küla; Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522052,Kužba küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Kužba küla,768.0,,False,Kužba küla; Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522053,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522062,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522063,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522064,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522065,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522066,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522067,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522068,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522069,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522070,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
522071,Jönöddori küla,küla,Venemaa,Komi ANSV,rajoon,Jönöddori küla,841.0,,False,Jönöddori küla; Gami külanõukogu; rajoon; Komi Vabariik; Venemaa
522072,Parma küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Parma küla,849.0,,False,Parma küla; Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522073,Parma küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Parma küla,849.0,,False,Parma küla; Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522074,Parma küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Parma küla,849.0,,False,Parma küla; Ust-Kulomi rajoon; Komi Vabariik; Venemaa
522723,Komi ANSV,regioon,Venemaa,Komi ANSV,,,,,False,Komi ANSV; Venemaa
524027,Handi-Mansi autonoomne ringkond,küla,Venemaa,Tjumeni oblast,Belojarski rajoon,Handi-Mansi AR,906.0,,False,Handi-Mansi autonoomne ringkond; Belojarski rajoon; Tjumeni oblast; Venemaa
